resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId
34,1065,849,3,6,16,14,14,14,0,18,45.977,1720055,9,01:25.7,1
35,1065,847,3,63,15,15,15,15,0,18,46.821,1720899,15,01:25.8,1
36,1065,852,213,22,17,16,16,16,0,18,49.977,1724055,18,01:25.8,1
37,1065,853,210,9,20,17,17,17,0,18,+1:02.599,1736677,7,01:26.6,1
38,1065,9,51,88,19,18,18,18,0,18,+1:05.096,1739174,12,01:26.8,1
39,1065,854,210,47,18,19,19,19,0,18,+1:06.154,1740232,7,01:26.8,1
40,1065,842,213,10,6,\N,R,20,0,0,\N,\N,\N,\N,3
41,1071,822,131,77,2,1,1,1,3,24,29:09.6,1749559,8,01:12.3,1
42,1071,830,9,33,1,2,2,2,2,24,1.17,1750729,9,01:12.1,1
43,1071,832,6,55,5,3,3,3,1,24,18.723,1768282,13,01:13.2,1
44,1071,815,9,11,3,4,4,4,0,24,19.787,1769346,13,01:13.1,1
45,1071,1,131,44,20,5,5,5,0,24,20.872,1770431,5,01:12.4,1
46,1071,846,1,4,7,6,6,6,0,24,22.558,1772117,8,01:13.0,1
47,1071,844,6,16,6,7,7,7,0,24,25.056,1774615,4,01:13.1,1
48,1071,842,213,10,4,8,8,8,0,24,34.158,1783717,4,01:13.3,1
49,1071,839,214,31,10,9,9,9,0,24,34.632,1784191,11,01:13.6,1
50,1071,20,117,5,11,10,10,10,0,24,34.867,1784426,5,01:13.6,1
51,1071,817,1,3,8,11,11,11,0,24,35.869,1785428,9,01:13.5,1
52,1071,4,214,14,9,12,12,12,0,24,36.578,1786137,4,01:13.4,1
53,1071,841,51,99,14,13,13,13,0,24,41.88,1791439,11,01:13.6,1
54,1071,840,117,18,15,14,14,14,0,24,44.037,1793596,9,01:13.7,1
55,1071,852,213,22,12,15,15,15,0,24,46.15,1795709,11,01:13.7,1
56,1071,849,3,6,16,16,16,16,0,24,46.76,1796319,7,01:13.9,1
57,1071,847,3,63,17,17,17,17,0,24,47.739,1797298,14,01:14.1,1
58,1071,8,51,7,13,18,18,18,0,24,50.014,1799573,9,01:13.9,1
59,1071,854,210,47,18,19,19,19,0,24,+1:01.680,1811239,9,01:14.4,1
60,1071,853,210,9,19,20,20,20,0,24,+1:07.474,1817033,6,01:14.6,1
61,1077,830,9,1,1,1,1,1,8,21,30:39.6,1839567,14,01:19.2,1
62,1077,844,6,16,2,2,2,2,7,21,2.975,1842542,11,01:19.0,1
63,1077,815,9,11,7,3,3,3,6,21,4.721,1844288,14,01:19.0,1
64,1077,832,6,55,10,4,4,4,5,21,17.578,1857145,14,01:19.3,1
65,1077,846,1,4,3,5,5,5,4,21,24.561,1864128,9,01:20.0,1
66,1077,817,1,3,6,6,6,6,3,21,27.74,1867307,12,01:20.3,1
67,1077,822,51,77,8,7,7,7,2,21,28.133,1867700,9,01:20.2,1
68,1077,825,210,20,4,8,8,8,1,21,30.712,1870279,6,01:20.6,1
69,1077,4,214,14,5,9,9,9,0,21,32.278,1871845,10,01:20.6,1
70,1077,854,210,47,12,10,10,10,0,21,33.773,1873340,15,01:20.6,1
71,1077,847,131,63,11,11,11,11,0,21,36.284,1875851,19,01:20.8,1
72,1077,852,213,22,16,12,12,12,0,21,38.298,1877865,20,01:20.9,1
73,1077,20,117,5,9,13,13,13,0,21,40.177,1879744,8,01:21.0,1
74,1077,1,131,44,13,14,14,14,0,21,41.459,1881026,9,01:20.7,1
75,1077,840,117,18,15,15,15,15,0,21,42.91,1882477,14,01:20.9,1
76,1077,839,214,31,19,16,16,16,0,21,43.517,1883084,14,01:21.0,1
77,1077,842,213,10,17,17,17,17,0,21,43.794,1883361,18,01:20.6,1
78,1077,848,3,23,20,18,18,18,0,21,48.871,1888438,14,01:21.0,1
79,1077,849,3,6,18,19,19,19,0,21,52.017,1891584,16,01:21.4,1
80,1077,855,51,24,0,\N,R,20,0,0,\N,\N,\N,\N,31
81,1084,830,9,1,1,1,1,1,8,23,26:30.1,1590059,5,01:08.5,1
82,1084,844,6,16,2,2,2,2,7,23,1.675,1591734,4,01:08.3,1
83,1084,832,6,55,3,3,3,3,6,23,5.644,1595703,4,01:08.4,1
84,1084,847,131,63,4,4,4,4,5,23,13.429,1603488,4,01:09.0,1
85,1084,815,9,11,13,5,5,5,4,23,18.302,1608361,14,01:09.1,1
86,1084,839,214,31,5,6,6,6,3,23,31.032,1621091,4,01:09.4,1
87,1084,825,210,20,6,7,7,7,2,23,34.539,1624598,4,01:09.2,1
88,1084,1,131,44,9,8,8,8,1,23,35.447,1625506,7,01:09.5,1
89,1084,854,210,47,7,9,9,9,0,23,37.163,1627222,4,01:09.5,1
90,1084,822,51,77,12,10,10,10,0,23,37.557,1627616,4,01:09.7,1
91,1084,846,1,4,15,11,11,11,0,23,38.58,1628639,8,01:09.9,1
92,1084,817,1,3,16,12,12,12,0,23,39.738,1629797,8,01:10.0,1
93,1084,840,117,18,17,13,13,13,0,23,48.241,1638300,4,01:10.3,1
94,1084,855,51,24,18,14,14,14,0,23,50.753,1640812,11,01:10.2,1
95,1084,842,213,10,10,15,15,15,0,23,52.125,1642184,4,01:10.4,1
96,1084,848,3,23,11,16,16,16,0,23,52.412,1642471,5,01:10.4,1
97,1084,852,213,22,14,17,17,17,0,23,54.556,1644615,4,01:10.3,1
98,1084,849,3,6,19,18,18,18,0,23,+1:08.694,1658753,4,01:10.3,1
99,1084,20,117,5,20,19,19,19,0,21,\N,\N,4,01:10.3,130
100,1084,4,214,14,8,\N,N,20,0,0,\N,\N,\N,\N,10
101,1095,847,131,63,3,1,1,1,8,24,30:11.3,1811307,4,01:14.2,1
102,1095,832,6,55,5,2,2,2,7,24,3.995,1815302,2,01:14.5,1
103,1095,1,131,44,8,3,3,3,6,24,4.492,1815799,3,01:14.3,1
104,1095,830,9,1,2,4,4,4,5,24,10.494,1821801,5,01:14.5,1
105,1095,815,9,11,9,5,5,5,4,24,11.855,1823162,5,01:14.7,1
106,1095,844,6,16,10,6,6,6,3,24,13.133,1824440,4,01:15.2,1
107,1095,846,1,4,4,7,7,7,2,24,25.624,1836931,4,01:15.4,1
108,1095,825,210,20,1,8,8,8,1,24,28.768,1840075,2,01:15.1,1
109,1095,20,117,5,13,9,9,9,0,24,30.218,1841525,4,01:15.5,1
110,1095,842,213,10,12,10,10,10,0,24,34.17,1845477,3,01:15.3,1
111,1095,817,1,3,14,11,11,11,0,24,39.395,1850702,5,01:15.4,1
112,1095,854,210,47,20,12,12,12,0,24,41.159,1852466,5,01:15.8,1
113,1095,855,51,24,17,13,13,13,0,24,41.763,1853070,7,01:15.8,1
114,1095,822,51,77,18,14,14,14,0,24,42.338,1853645,8,01:16.0,1
115,1095,852,213,22,19,15,15,15,0,24,50.306,1861613,4,01:16.4,1
116,1095,840,117,18,15,16,16,16,0,24,50.7,1862007,4,01:15.4,1
117,1095,839,214,31,6,17,17,17,0,24,51.756,1863063,5,01:16.1,1
118,1095,4,214,14,7,18,18,18,0,24,53.985,1865292,5,01:14.8,1
119,1095,849,3,6,16,19,19,19,0,24,+1:16.850,1888157,4,01:16.5,1
120,1095,848,3,23,11,\N,R,20,0,12,\N,\N,4,01:16.0,31
121,1101,815,9,11,2,1,1,1,8,17,33:17.7,1997667,11,01:43.6,1
122,1101,844,6,16,1,2,2,2,7,17,4.463,2002130,12,01:43.6,1
123,1101,830,9,1,3,3,3,3,6,17,5.065,2002732,10,01:43.7,1
124,1101,847,131,63,4,4,4,4,5,17,3.467,2001134,10,01:44.4,1
125,1101,832,6,55,5,5,5,5,4,17,10.388,2008055,11,01:44.4,1
126,1101,4,117,14,8,6,6,6,3,17,11.613,2009280,12,01:44.5,1
127,1101,1,131,44,6,7,7,7,2,17,4.89,2002557,8,01:44.6,1
128,1101,840,117,18,9,8,8,8,1,17,18.417,2016084,14,01:44.9,1
129,1101,848,3,23,7,9,9,9,0,17,21.757,2019424,10,01:44.9,1
130,1101,857,1,81,11,10,10,10,0,17,22.851,2020518,8,01:44.8,1
131,1101,825,210,20,13,11,11,11,0,17,27.99,2025657,14,01:45.3,1
132,1101,855,51,24,14,12,12,12,0,17,34.602,2032269,16,01:45.8,1
133,1101,842,214,10,17,13,13,13,0,17,36.918,2034585,12,01:45.9,1
134,1101,856,213,21,18,14,14,14,0,17,41.626,2039293,17,01:45.8,1
135,1101,807,210,27,12,15,15,15,0,17,48.587,2046254,8,01:46.0,1
136,1101,822,51,77,15,16,16,16,0,17,49.917,2047584,9,01:46.3,1
137,1101,846,1,4,10,17,17,17,0,17,51.104,2048771,15,01:44.5,1
138,1101,839,214,31,0,18,18,18,0,17,+1:00.621,2058288,15,01:45.1,1
139,1101,852,213,22,16,\N,R,19,0,2,\N,\N,\N,\N,130
140,1101,858,3,2,0,\N,W,20,0,0,\N,\N,\N,\N,3
141,1107,830,9,1,1,1,1,1,8,24,30:26.7,1826730,19,01:14.3,1
142,1107,815,9,11,2,2,2,2,7,24,21.048,1847778,16,01:15.5,1
143,1107,832,6,55,5,3,3,3,6,24,23.088,1849818,16,01:15.5,1
144,1107,840,117,18,7,4,4,4,5,24,29.703,1856433,23,01:15.5,1
145,1107,4,117,14,6,5,5,5,4,24,30.109,1856839,18,01:15.0,1
146,1107,807,210,27,4,6,6,6,3,24,31.297,1858027,24,01:10.2,1
147,1107,839,214,31,8,7,7,7,2,24,36.602,1863332,22,01:15.5,1
148,1107,847,131,63,15,8,8,8,1,24,36.611,1863341,23,01:10.4,1
149,1107,846,1,4,3,9,9,9,0,24,38.608,1865338,19,01:15.6,1
150,1107,1,131,44,18,10,10,10,0,24,46.375,1873105,24,01:10.8,1
151,1107,857,1,81,17,11,11,11,0,24,49.807,1876537,24,01:10.3,1
152,1107,844,6,16,9,12,12,12,0,24,50.789,1877519,24,01:10.7,1
153,1107,848,3,23,11,13,13,13,0,24,52.848,1879578,24,01:11.6,1
154,1107,825,210,20,10,14,14,14,0,24,56.593,1883323,23,01:10.5,1
155,1107,842,214,10,12,15,15,15,0,24,57.652,1884382,22,01:16.1,1
156,1107,852,213,22,13,16,16,16,0,24,+1:04.822,1891552,23,01:11.4,1
157,1107,856,213,21,14,17,17,17,0,24,+1:05.617,1892347,22,01:11.7,1
158,1107,858,3,2,20,18,18,18,0,24,+1:06.059,1892789,21,01:11.8,1
159,1107,855,51,24,16,19,19,19,0,24,+1:10.825,1897555,22,01:11.3,1
160,1107,822,51,77,0,20,20,20,0,24,+1:16.435,1903165,22,01:16.8,1
161,1110,830,9,1,1,1,1,1,8,11,24:58.4,1498433,6,01:58.9,1
162,1110,857,1,81,2,2,2,2,7,11,6.677,1505110,2,02:00.4,1
163,1110,842,214,10,6,3,3,3,6,11,10.733,1509166,6,02:01.9,1
164,1110,832,6,55,3,4,4,4,5,11,12.648,1511081,7,02:01.5,1
165,1110,844,6,16,4,5,5,5,4,11,15.016,1513449,7,02:02.6,1
166,1110,846,1,4,5,6,6,6,3,11,16.052,1514485,8,02:02.1,1
167,1110,1,131,44,7,7,7,7,2,11,16.757,1515190,7,02:00.9,1
168,1110,847,131,63,10,8,8,8,1,11,16.822,1515255,10,02:01.9,1
169,1110,839,214,31,9,9,9,9,0,11,22.41,1520843,6,02:03.1,1
170,1110,817,213,3,11,10,10,10,0,11,22.806,1521239,8,02:03.0,1
171,1110,840,117,18,14,11,11,11,0,11,25.007,1523440,6,02:03.4,1
172,1110,848,3,23,12,12,12,12,0,11,26.303,1524736,6,02:03.7,1
173,1110,822,51,77,17,13,13,13,0,11,27.006,1525439,6,02:03.6,1
174,1110,825,210,20,18,14,14,14,0,11,32.986,1531419,6,02:04.0,1
175,1110,855,51,24,19,15,15,15,0,11,36.342,1534775,6,02:04.8,1
176,1110,858,3,2,13,16,16,16,0,11,37.571,1536004,6,02:03.5,1
177,1110,807,210,27,20,17,17,17,0,11,37.827,1536260,6,02:03.5,1
178,1110,852,213,22,16,18,18,18,0,11,39.267,1537700,7,02:02.1,1
179,1110,815,9,11,8,\N,R,19,0,8,\N,\N,2,02:02.5,130
180,1110,4,117,14,15,\N,R,20,0,2,\N,\N,\N,\N,3
181,1115,857,1,81,1,1,1,1,8,19,35:01.3,2101297,17,01:25.9,1
182,1115,830,9,1,3,2,2,2,7,19,1.871,2103168,17,01:25.6,1
183,1115,846,1,4,2,3,3,3,6,19,8.497,2109794,19,01:25.7,1
184,1115,847,131,63,4,4,4,4,5,19,11.036,2112333,18,01:27.2,1
185,1115,1,131,44,12,5,5,5,4,19,17.314,2118611,19,01:28.0,1
186,1115,832,6,55,5,6,6,6,3,19,18.806,2120103,7,01:28.6,1
187,1115,848,3,23,17,7,7,7,2,19,19.864,2121161,16,01:28.7,1
188,1115,4,117,14,9,8,8,8,1,19,21.18,2122477,16,01:28.7,1
189,1115,842,214,10,11,9,9,9,0,19,21.742,2123039,16,01:28.8,1
190,1115,822,51,77,13,10,10,10,0,19,22.208,2123505,17,01:29.0,1
191,1115,852,213,22,18,11,11,11,0,19,22.863,2124160,17,01:29.4,1
192,1115,844,6,16,6,12,12,12,0,19,24.86,2126157,8,01:28.8,1
193,1115,840,117,18,16,13,13,13,0,19,24.523,2125820,17,01:29.5,1
194,1115,825,210,20,19,14,14,14,0,19,24.97,2126267,17,01:29.6,1
195,1115,855,51,24,15,15,15,15,0,19,26.868,2128165,17,01:29.6,1
196,1115,807,210,27,7,\N,R,16,0,11,\N,\N,9,01:29.3,31
197,1115,839,214,31,10,\N,R,17,0,10,\N,\N,8,01:29.4,31
198,1115,815,9,11,8,\N,R,18,0,10,\N,\N,9,01:28.6,31
199,1115,858,3,2,20,\N,R,19,0,2,\N,\N,2,02:03.6,31
200,1115,859,213,40,14,\N,R,20,0,0,\N,\N,\N,\N,31
201,1116,830,9,1,1,1,1,1,8,19,31:30.8,1890849,2,01:39.1,1
202,1116,1,131,44,3,2,2,2,7,19,9.465,1900314,3,01:39.1,1
203,1116,844,6,16,2,3,3,3,6,19,17.987,1908836,3,01:39.6,1
204,1116,846,1,4,4,4,4,4,5,19,18.863,1909712,15,01:39.8,1
205,1116,815,9,11,7,5,5,5,4,19,22.928,1913777,6,01:39.8,1
206,1116,832,6,55,6,6,6,6,3,19,28.307,1919156,5,01:40.2,1
207,1116,842,214,10,9,7,7,7,2,19,32.403,1923252,5,01:40.2,1
208,1116,847,131,63,11,8,8,8,1,19,34.25,1925099,10,01:40.3,1
209,1116,848,3,23,8,9,9,9,0,19,34.567,1925416,17,01:40.1,1
210,1116,857,1,81,5,10,10,10,0,19,42.403,1933252,16,01:41.0,1
211,1116,839,214,31,13,11,11,11,0,19,44.986,1935835,15,01:41.0,1
212,1116,817,213,3,10,12,12,12,0,19,45.509,1936358,14,01:40.4,1
213,1116,4,117,14,12,13,13,13,0,19,49.086,1939935,16,01:40.8,1
214,1116,852,213,22,19,14,14,14,0,19,49.733,1940582,17,01:40.6,1
215,1116,807,210,27,16,15,15,15,0,19,56.65,1947499,18,01:41.2,1
216,1116,822,51,77,18,16,16,16,0,19,+1:04.401,1955250,18,01:41.5,1
217,1116,855,51,24,15,17,17,17,0,19,+1:07.972,1958821,18,01:41.6,1
218,1116,825,210,20,17,18,18,18,0,19,+1:11.122,1961971,3,01:41.7,1
219,1116,858,3,2,20,19,19,19,0,19,+1:11.449,1962298,6,01:41.9,1
220,1116,840,117,18,14,\N,R,20,0,16,\N,\N,5,01:41.5,23
221,1118,830,9,1,2,1,1,1,8,24,30:07.2,1807209,3,01:14.5,1
222,1118,846,1,4,1,2,2,2,7,24,4.287,1811496,3,01:14.6,1
223,1118,815,9,11,3,3,3,3,6,24,13.617,1820826,2,01:15.0,1
224,1118,847,131,63,4,4,4,4,5,24,25.879,1833088,2,01:14.4,1
225,1118,844,6,16,7,5,5,5,4,24,28.56,1835769,3,01:15.4,1
226,1118,852,213,22,6,6,6,6,3,24,29.21,1836419,2,01:15.5,1
227,1118,1,131,44,5,7,7,7,2,24,34.726,1841935,2,01:15.3,1
228,1118,832,6,55,9,8,8,8,1,24,35.106,1842315,3,01:15.4,1
229,1118,817,213,3,8,9,9,9,0,24,35.303,1842512,2,01:15.5,1
230,1118,857,1,81,10,10,10,10,0,24,38.219,1845428,2,01:15.5,1
231,1118,4,117,14,15,11,11,11,0,24,39.061,1846270,4,01:15.5,1
232,1118,840,117,18,17,12,12,12,0,24,39.478,1846687,3,01:15.5,1
233,1118,842,214,10,13,13,13,13,0,24,40.621,1847830,3,01:15.2,1
234,1118,839,214,31,16,14,14,14,0,24,42.848,1850057,3,01:15.5,1
235,1118,848,3,23,19,15,15,15,0,24,43.394,1850603,3,01:15.6,1
236,1118,825,210,20,11,16,16,16,0,24,56.507,1863716,3,01:15.5,1
237,1118,855,51,24,18,17,17,17,0,24,58.723,1865932,3,01:15.8,1
238,1118,807,210,27,12,18,18,18,0,24,+1:00.330,1867539,3,01:15.5,1
239,1118,822,51,77,14,19,19,19,0,24,+1:00.749,1867958,3,01:15.7,1
240,1118,858,3,2,20,20,20,20,0,24,+1:00.945,1868154,4,01:15.5,1
241,1125,830,9,1,4,1,1,1,8,19,32:04.7,1924660,3,01:40.3,1
242,1125,1,131,44,2,2,2,2,7,19,13.043,1937703,3,01:40.4,1
243,1125,815,9,11,6,3,3,3,6,19,15.258,1939918,4,01:41.1,1
244,1125,844,6,16,7,4,4,4,5,19,17.486,1942146,4,01:41.0,1
245,1125,832,6,55,5,5,5,5,4,19,20.696,1945356,4,01:41.0,1
246,1125,846,1,4,1,6,6,6,3,19,22.088,1946748,4,01:41.0,1
247,1125,857,1,81,8,7,7,7,2,19,24.713,1949373,3,01:41.1,1
248,1125,847,131,63,11,8,8,8,1,19,25.696,1950356,5,01:41.5,1
249,1125,855,15,24,10,9,9,9,0,19,31.951,1956611,4,01:41.5,1
250,1125,825,210,20,12,10,10,10,0,19,37.398,1962058,5,01:42.1,1
251,1125,817,215,3,14,11,11,11,0,19,37.84,1962500,6,01:42.2,1
252,1125,822,15,77,9,12,12,12,0,19,38.295,1962955,6,01:42.1,1
253,1125,839,214,31,17,13,13,13,0,19,39.841,1964501,4,01:42.2,1
254,1125,840,117,18,15,14,14,14,0,19,40.299,1964959,5,01:42.3,1
255,1125,842,214,10,16,15,15,15,0,19,40.838,1965498,4,01:42.0,1
256,1125,852,215,22,19,16,16,16,0,19,41.87,1966530,4,01:42.1,1
257,1125,848,3,23,18,17,17,17,0,19,42.998,1967658,8,01:42.4,1
258,1125,858,3,2,20,18,18,18,0,19,46.352,1971012,7,01:42.5,1
259,1125,807,210,27,13,19,19,19,0,19,49.63,1974290,5,01:42.3,1
260,1125,4,117,14,3,20,20,20,0,17,\N,\N,3,01:40.5,31
261,1126,830,9,1,1,1,1,1,8,19,31:31.4,1891383,4,01:30.4,1
262,1126,844,6,16,2,2,2,2,7,19,3.371,1894754,4,01:30.8,1
263,1126,815,9,11,3,3,3,3,6,19,5.095,1896478,19,01:30.9,1
264,1126,817,215,3,4,4,4,4,5,19,14.971,1906354,4,01:31.5,1
265,1126,832,6,55,5,5,5,5,4,19,15.222,1906605,17,01:31.6,1
266,1126,857,1,81,6,6,6,6,3,19,15.75,1907133,19,01:31.4,1
267,1126,807,210,27,10,7,7,7,2,19,22.054,1913437,8,01:32.0,1
268,1126,852,215,22,15,8,8,8,1,19,29.816,1921199,16,01:31.8,1
269,1126,842,214,10,16,9,9,9,0,19,31.88,1923263,6,01:32.1,1
270,1126,858,3,2,18,10,10,10,0,19,34.355,1925738,6,01:32.2,1
271,1126,855,15,24,17,11,11,11,0,19,35.078,1926461,7,01:32.1,1
272,1126,847,131,63,11,12,12,12,0,19,35.755,1927138,8,01:32.2,1
273,1126,848,3,23,20,13,13,13,0,19,36.086,1927469,6,01:32.2,1
274,1126,822,15,77,19,14,14,14,0,19,36.892,1928275,7,01:32.5,1
275,1126,839,214,31,13,15,15,15,0,19,37.74,1929123,19,01:32.2,1
276,1126,1,131,44,12,16,16,16,0,19,49.347,1940730,16,01:31.8,1
277,1126,4,117,14,8,17,17,17,0,19,59.409,1950792,7,01:32.4,1
278,1126,825,210,20,14,18,18,18,0,19,+1:06.303,1957686,5,01:32.1,1
279,1126,840,117,18,7,19,19,19,0,1,\N,\N,\N,\N,31
280,1126,846,1,4,9,20,20,20,0,0,\N,\N,\N,\N,31
281,1131,830,9,1,1,1,1,1,8,23,26:41.4,1601389,8,01:09.0,1
282,1131,857,1,81,3,2,2,2,7,23,4.616,1606005,2,01:09.0,1
283,1131,846,1,4,2,3,3,3,6,23,5.348,1606737,2,01:08.9,1
284,1131,847,131,63,4,4,4,4,5,23,8.354,1609743,4,01:09.2,1
285,1131,832,6,55,5,5,5,5,4,23,9.989,1611378,4,01:09.1,1
286,1131,1,131,44,6,6,6,6,3,23,11.207,1612596,5,01:09.3,1
287,1131,844,6,16,10,7,7,7,2,23,13.424,1614813,5,01:09.4,1
288,1131,815,9,11,7,8,8,8,1,23,17.409,1618798,4,01:09.4,1
289,1131,825,210,20,11,9,9,9,0,23,24.067,1625456,13,01:09.9,1
290,1131,840,117,18,12,10,10,10,0,23,30.175,1631564,11,01:10.3,1
291,1131,839,214,31,8,11,11,11,0,23,30.839,1632228,9,01:10.3,1
292,1131,842,214,10,9,12,12,12,0,23,31.308,1632697,10,01:10.2,1
293,1131,852,215,22,14,13,13,13,0,23,35.452,1636841,5,01:10.4,1
294,1131,817,215,3,16,14,14,14,0,23,39.397,1640786,5,01:10.5,1
295,1131,4,117,14,13,15,15,15,0,23,43.155,1644544,5,01:10.4,1
296,1131,858,3,2,15,16,16,16,0,23,44.076,1645465,6,01:10.5,1
297,1131,848,3,23,0,17,17,17,0,23,44.673,1646062,8,01:10.6,1
298,1131,822,15,77,18,18,18,18,0,23,46.511,1647900,8,01:10.6,1
299,1131,807,210,27,17,19,19,19,0,23,48.423,1649812,4,01:10.5,1
300,1131,855,15,24,19,20,20,20,0,23,53.143,1654532,6,01:10.6,1
